_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
3 - 1 - 1 Program,311SERVICE,,1
3-1-1 Customer Service Strategy,311SERVICE,,
Affordable Housing Office,AFFHOUSING,,1
Arena Boards of Management,ARENAS,,1
Association of Community Centres,COMMCENTRES,,1
Auditor General's Office,AUDITGEN,,1
Capital & Corporate Financing,CORPFINANCING,,
Children's Services,CHILDSERV,,1
City Clerk's Office,CLERK,,1
City Council,COUNCIL,,
City Manager's Offic,CITYMANAGER,,
City Manager's Office,CITYMANAGER,,1
City Planning,PLANNING,,1
Community Partnership and Investment Program,COMMPARTNER,,
Community Partnership and Investment Program revenue,COMMPARTNERREV,,
Council,COUNCIL,,1
Court Services,COURTSERV,,1
"Economic Development, Culture & Tourism",ECONDEV,,1
Emergency Medical Services,EMERG,,1
Exhibition Place,EXHIBPLACE,,1
Facilities & Real Estate,FACILITIES,,1
Fire Services,FIRE,,1
Fleet Services,FLEET,,1
Heritage Toronto,HERITAGE,,1
Homes for the Aged,AGEDHOMES,,1
Information & Technology,IT,,1
Integrity Commissioner's Office,INTEGRITYCOMM,,
Legal Services,LEGAL,,1
Lobbyist Registrar,LOBBYREG,,
Mayor's Office,MAYOR,,1
Municipal Licensing & Standards,LICENCING,,
Municipal Licensing and Standards,LICENCING,,1
Non-Program Expenditures,CORPEXPENDITURES,,
Non-Program Revenues,CORPREVENUES,,
Office of the Chief Financial Officer,CFO,,1
Office of the Lobbyist Registrar,LOBBYREG,,1
Office of the Ombudsperson,OMBUDSMAN,,1
Office of the Treasurer,TREASURER,,1
Parking Authority,PARKING,,1
Parking Enforcement Unit,PARKINGTAGS,,1
"Parks, Forestry & Recreation",PARKS,,1
"Policy, Planning, Finance & Admin.",POLICYADMIN,,1
"Policy, Planning, Finance and Administration",POLICYADMIN,,
Pubic Information & Creative Services,CREATIVEINFO,,
Public Information & Creative Services,CREATIVEINFO,,1
"Shelter, Housing & Support",SHELTERADMIN,,1
"Shelter, Support & Housing Administration",SHELTERADMIN,,
"Social Development, Finance & Administration",SOCIALDEV,,1
Social Services,SOCIALSERV,,1
Solid Waste Management Services,SOLIDWASTE,,1
Technical Services,TECH,,1
Theatres,THEATRES,,1
Toronto & Region Conservation Authority,REGIONCONSERV,,
Toronto Atmospheric Fund,ATMOSPHERE,,1
Toronto Building,BUILDINGS,,1
Toronto Parking Authority,PARKING,,
Toronto Police Service,POLICE,,
Toronto Police Services Board,POLICEBOARD,,
Toronto Police Services(excludes Board),POLICE,,1
Toronto Public Health,PUBLICHEALTH,,1
Toronto Public Library,LIBRARY,,1
Toronto Transit Commission - Conventional,TTCCONV,,
Toronto Transit Commission - Wheel-Trans,TTCWHEEL,,
Toronto Transit Commission*,TTCCONV,,1
Toronto Water,WATER,,1
Toronto Zoo,ZOO,,1
Transportation Services,TRANSPORTATION,,1
Waterfront Secretariat,WATERFRONT,,1
Yonge Dundas Square,YONGEDUNDAS,,1
Yonge-Dundas Square,YONGEDUNDAS,,
