_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Toronto,311SERVICE,,2
Affordable Housing Office,AFFHOUSING,,7
Arena Boards of Management,ARENAS,,2
Association of Community Centres,COMMCENTRES,,2
Capital & Corporate Financing,CORPFINANCING,,4
Children's Services,CHILDSERV,,9
City Clerk's Office,CLERK,,14
City Council,COUNCIL,,1
City Manager's Office,CITYMANAGER,,21
City Planning,PLANNING,,6
Court Services,COURTSERV,,12
Economic Development & Culture,ECONDEV,,33
Engineering & Construction Services,ENGINEERING,,22
Exhibition Place,EXHIBPLACE,,7
"Facilities, Real Estate, Environment & Energy",FACILITIES,,35
Fire Services,FIRE,,14
Fleet Services,FLEET,,15
Heritage Toronto,HERITAGE,,5
Information & Technology,IT,,34
Legal Services,LEGAL,,8
Long Term Care Homes & Services,LONGTERMHOME,,10
Municipal Licensing & Standards,LICENCING,,36
Non-Program Expenditures,CORPEXPENDITURES,,3
Non-Program Revenues,CORPREVENUES,,5
Office of the Chief Financial Officer,CFO,,31
Office of the Treasurer,TREASURER,,60
"Parks, Forestry & Recreation",PARKS,,56
"Policy, Planning, Finance & Administration",POLICYADMIN,,16
Property Tax,PROPERTYTAX,,2
"Shelter, Support & Housing Administration",SHELTERADMIN,,29
"Social Development, Finance & Administration",SOCIALDEV,,25
Solid Waste Management Services,SOLIDWASTE,,38
Theatres,THEATRES,,3
Toronto & Region Conservation Authority,REGIONCONSERV,,4
Toronto Atmospheric Fund,ATMOSPHERE,,2
Toronto Building,BUILDINGS,,36
Toronto Employment & Social Services,SOCIALSERV,,16
Toronto Paramedic Services,PARAMEDIC,,29
Toronto Parking Authority,PARKING,,5
Toronto Police Service,POLICE,,4
Toronto Police Services Board,POLICEBOARD,,1
Toronto Public Health,PUBLICHEALTH,,27
Toronto Public Library,LIBRARY,,15
Toronto Transit Commission - Conventional,TTCCONV,,2
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,1
Toronto Water,WATER,,20
Toronto Zoo,ZOO,,9
Transportation Services,TRANSPORTATION,,53
Yonge-Dundas Square,YONGEDUNDAS,,3
