3-1-1 Project Management Office,311SERVICE,,2
Affordable Housing Office,AFFHOUSING,,2
Arena Boards of Management,ARENAS,,2
Assessment Growth 2006,ASSESSMENT,,1
Association of Community Centers,COMMCENTRES,,2
Auditor General’s Office,AUDITGEN,,2
Building Services,BUILDINGS,,2
Business Support Services,BIZSUPPORT,,2
Capital & Corporate Financing,CORPFINANCING,,2
Children’s Services,CHILDSERV,,2
City Clerk’s Office,CLERK,,2
City Manager’s Office,CITYMANAGER,,2
City Planning,PLANNING,,2
Clean and Beautiful City Secretariat,BEAUTY,,2
Community Partnership and Investment Program,COMMPARTNER,,1
Community Partnership and Investment Program revenue,COMMPARTNERREV,,1
Corporate Communications,CORPCOMMS,,2
Council,COUNCIL,,2
Court Services,COURTSERV,,2
Culture,CULTURE,,2
Economic Development,ECONDEV,,2
Economic Recovery,ECONRECOV,,1
Emergency Medical Services,EMERG,,2
Exhibition Place,EXHIBPLACE,,2
Facilities & Real Estate,FACILITIES,,2
Fire Services,FIRE,,2
Fleet Services,FLEET,,2
Heritage Toronto,HERITAGE,,2
Homes for the Aged,AGEDHOMES,,2
Human Resources,HUMANRESOURCES,,2
Information & Technology,IT,,2
Legal Services,LEGAL,,2
Municipal Licensing & Standards,LICENCING,,2
Non-Program Expenditures,CORPEXPENDITURES,,2
Non-Program Revenues,CORPREVENUES,,1
Office of the DCM and Chief Financial Officer,CFO,,2
Office of the Mayor,MAYOR,,2
Office of the Treasurer,TREASURER,,2
"Parks, Forestry & Recreation",PARKS,,2
Shelter Support & Housing Administration,SHELTERADMIN,,2
Social Development Finance & Administration,SOCIALDEV,,2
Social Services,SOCIALSERV,,2
Solid Waste Management Services,SOLIDWASTE,,2
Support Services,SUPPORTSERV,,1
Technical Services,TECH,,2
Theatres,THEATRES,,2
Toronto & Region Conservation Authority,REGIONCONSERV,,2
Toronto Parking Authority,PARKING,,2
Toronto Police Service,POLICE,,2
Toronto Police Services Board,POLICEBOARD,,2
Toronto Public Health,PUBLICHEALTH,,2
Toronto Public Library,LIBRARY,,2
Toronto Transit Commission - Conventional,TTCCONV,,2
Toronto Transit Commission - Wheel-Trans,TTCWHEEL,,2
Toronto Water,WATER,,2
Toronto Zoo,ZOO,,2
Tourism,TOURISM,,2
Transportation Services,TRANSPORTATION,,2
WES - Support Services,SUPPORTSERV,,1
Waterfront Secretariat,WATERFRONT,,2
Yonge/Dundas Square,YONGEDUNDAS,,2
