_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
3-1-1 Project Management Office,311SERVICE,,1
Affordable Housing Office,AFFHOUSING,,1
Arena Boards of Management,ARENAS,,1
Assessment Growth 2006,ASSESSMENT,,
Association of Community Centers,COMMCENTRES,,1
Auditor General’s Office,AUDITGEN,,1
Building Services,BUILDINGS,,1
Business Support Services,BIZSUPPORT,,1
Capital & Corporate Financing,CORPFINANCING,,1
Children’s Services,CHILDSERV,,1
City Clerk’s Office,CLERK,,1
City Manager’s Office,CITYMANAGER,,1
City Planning,PLANNING,,1
Clean and Beautiful City Secretariat,BEAUTY,,1
Community Partnership and Investment Program,COMMPARTNER,,1
Community Partnership and Investment Program revenue,COMMPARTNERREV,,
Corporate Communications,CORPCOMMS,,1
Council,COUNCIL,,1
Court Services,COURTSERV,,1
Culture,CULTURE,,1
Economic Development,ECONDEV,,1
Economic Recovery,ECONRECOV,,1
Emergency Medical Services,EMERG,,1
Exhibition Place,EXHIBPLACE,,1
Facilities & Real Estate,FACILITIES,,1
Fire Services,FIRE,,1
Fleet Services,FLEET,,1
Heritage Toronto,HERITAGE,,1
Homes for the Aged,AGEDHOMES,,1
Human Resources,HUMANRESOURCES,,1
Information & Technology,IT,,1
Legal Services,LEGAL,,1
Municipal Licensing & Standards,LICENCING,,1
Non-Program Expenditures,CORPEXPENDITURES,,1
Non-Program Revenues,CORPREVENUES,,
Office of the DCM and Chief Financial Officer,CFO,,1
Office of the Mayor,MAYOR,,1
Office of the Treasurer,TREASURER,,1
"Parks, Forestry & Recreation",PARKS,,1
Shelter Support & Housing Administration,SHELTERADMIN,,1
Social Development Finance & Administration,SOCIALDEV,,1
Social Services,SOCIALSERV,,1
Solid Waste Management Services,SOLIDWASTE,,1
Support Services,SUPPORTSERV,,1
Technical Services,TECH,,1
Theatres,THEATRES,,1
Toronto & Region Conservation Authority,REGIONCONSERV,,1
Toronto Parking Authority,PARKING,,1
Toronto Police Service,POLICE,,1
Toronto Police Services Board,POLICEBOARD,,1
Toronto Public Health,PUBLICHEALTH,,1
Toronto Public Library,LIBRARY,,1
Toronto Transit Commission - Conventional,TTCCONV,,1
Toronto Transit Commission - Wheel-Trans,TTCWHEEL,,1
Toronto Water,WATER,,1
Toronto Zoo,ZOO,,1
Tourism,TOURISM,,1
Transportation Services,TRANSPORTATION,,1
WES - Support Services,SUPPORTSERV,,
Waterfront Secretariat,WATERFRONT,,1
Yonge/Dundas Square,YONGEDUNDAS,,1
