_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Toronto,311SERVICE,,1
Affordable Housing Office,AFFHOUSING,,1
Arena Boards of Management,ARENAS,,1
Assessment Change,ASSESSMENT,,
Association of Community Centres,COMMCENTRES,,1
Auditor General's Office,AUDITGEN,,1
Capital & Corporate Financing,CORPFINANCING,,1
Children's Services,CHILDSERV,,1
City Clerk's Office,CLERK,,1
City Manager's Office,CITYMANAGER,,1
City Planning,PLANNING,,1
City's Council,COUNCIL,,1
Court Services,COURTSERV,,1
Economic Development & Culture,ECONDEV,,1
Emergency Medical Services,EMERG,,1
Engineering & Construction Services,ENGINEERING,,1
Exhibition Place,EXHIBPLACE,,1
Facilities Management & Real Estate,FACILITIES,,1
Fire Services,FIRE,,1
Fleet Services,FLEET,,1
Heritage Toronto,HERITAGE,,1
Information & Technology,IT,,1
Integrity Commissioner's Office,INTEGRITYCOMM,,1
Legal Services,LEGAL,,1
Long Term Care Homes & Services,LONGTERMHOME,,1
Mayor's Office,MAYOR,,1
Municipal Licensing & Standards,LICENCING,,1
Non-Program Expenditures,CORPEXPENDITURES,,1
Non-Program Revenues,CORPREVENUES,,1
Office of the Chief Financial Officer,CFO,,1
Office of the Lobbyist Registrar,LOBBYREG,,1
Office of the Ombudsman,OMBUDSMAN,,1
Office of the Treasurer,TREASURER,,1
"Parks, Forestry & Recreation",PARKS,,1
"Policy, Planning, Finance & Admin",POLICYADMIN,,1
"Shelter, Support & Housing Admin",SHELTERADMIN,,1
"Social Development, Finance & Admin",SOCIALDEV,,1
Solid Waste Management Services,SOLIDWASTE,,1
TCHC Exempt,CORPFINANCING,,
Theatres,THEATRES,,1
Toronto Buildings,BUILDINGS,,1
Toronto Employment & Social Services,SOCIALSERV,,1
Toronto Environment Office,ENV,,1
Toronto Parking Authority,PARKING,,1
Toronto Police Service,POLICE,,1
Toronto Police Services Board,POLICEBOARD,,1
Toronto Public Health,PUBLICHEALTH,,1
Toronto Public Library,LIBRARY,,1
Toronto Region Conservation Authority,REGIONCONSERV,,1
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,1
Toronto Transit Commission-Conventional,TTCCONV,,1
Toronto Water,WATER,,1
Toronto Zoo,ZOO,,1
Transportation Services,TRANSPORTATION,,1
Yonge-Dundas Square,YONGEDUNDAS,,1
