_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,
SOLIDWASTE,Solid Waste Management Services,TEMP,Temporary,120.2
THEATRES,Theatres,PERM,Permanent,87.1
THEATRES,Theatres,TEMP,Temporary,84.8
REGIONCONSERV,Toronto & Region Conservation Authority,PERM,Permanent,334
REGIONCONSERV,Toronto & Region Conservation Authority,TEMP,Temporary,85.6
ATMOSPHERE,Toronto Atmospheric Fund,PERM,Permanent,8
ATMOSPHERE,Toronto Atmospheric Fund,TEMP,Temporary,
BUILDINGS,Toronto Building,PERM,Permanent,444
BUILDINGS,Toronto Building,TEMP,Temporary,12
SOCIALSERV,Toronto Employment & Social Services,PERM,Permanent,2007
SOCIALSERV,Toronto Employment & Social Services,TEMP,Temporary,113
PARAMEDIC,Toronto Paramedic Services,PERM,Permanent,1438.8
PARAMEDIC,Toronto Paramedic Services,TEMP,Temporary,6.5
PARKING,Toronto Parking Authority,PERM,Permanent,249.1
PARKING,Toronto Parking Authority,TEMP,Temporary,53.3
POLICE,Toronto Police Service,PERM,Permanent,7881
POLICE,Toronto Police Service,TEMP,Temporary,
POLICEBOARD,Toronto Police Services Board,PERM,Permanent,7
POLICEBOARD,Toronto Police Services Board,TEMP,Temporary,
PUBLICHEALTH,Toronto Public Health,PERM,Permanent,1822
PUBLICHEALTH,Toronto Public Health,TEMP,Temporary,50
LIBRARY,Toronto Public Library,PERM,Permanent,1741
LIBRARY,Toronto Public Library,TEMP,Temporary,
TTCCONV,Toronto Transit Commission - Conventional,PERM,Permanent,13858
TTCCONV,Toronto Transit Commission - Conventional,TEMP,Temporary,117
TTCWHEEL,Toronto Transit Commission - Wheel Trans,PERM,Permanent,565
TTCWHEEL,Toronto Transit Commission - Wheel Trans,TEMP,Temporary,
WATER,Toronto Water,PERM,Permanent,1653
WATER,Toronto Water,TEMP,Temporary,103.7
ZOO,Toronto Zoo,PERM,Permanent,277.7
ZOO,Toronto Zoo,TEMP,Temporary,116.3
TRANSPORTATION,Transportation Services,PERM,Permanent,1071.6
TRANSPORTATION,Transportation Services,TEMP,Temporary,51.4
YONGEDUNDAS,Yonge-Dundas Square,PERM,Permanent,6
YONGEDUNDAS,Yonge-Dundas Square,TEMP,Temporary,0.5
